"id","Website","power"
"S001","9gag_com.html",53.8781039513851
"S002","9gag_com.html",47.3432956883982
"S003","9gag_com.html",47.5795125858712
"S004","9gag_com.html",51.9366990991133
"S005","9gag_com.html",57.4875296582473
"S006","9gag_com.html",57.6172531318573
"S007","9gag_com.html",50.9667033547986
"S008","9gag_com.html",60.333195451308
"S009","adjust_com.html",42.7905843398657
"S010","adjust_com.html",41.1948936903787
"S011","adjust_com.html",43.5015625090686
"S012","adjust_com.html",41.8888679148841
"S013","adjust_com.html",42.8472014576233
"S014","adjust_com.html",43.6397314851152
"S015","adjust_com.html",44.2301313947962
"S016","adjust_com.html",42.6450882387001
"S017","adp_com.html",37.1749926411197
"S018","adp_com.html",53.1419186191045
"S019","adp_com.html",37.0314244025636
"S020","adp_com.html",33.8653417504455
"S021","adp_com.html",39.9432745254696
"S022","adp_com.html",49.802291492537
"S023","adp_com.html",44.4360153362148
"S024","adp_com.html",47.8533678892691
"S025","aljazeera_com.html",44.6810261321055
"S026","aljazeera_com.html",39.2280055617513
"S027","aljazeera_com.html",46.7160733291539
"S028","aljazeera_com.html",54.0778832913356
"S029","aljazeera_com.html",43.2318564966488
"S030","aljazeera_com.html",51.3256886637045
"S031","aljazeera_com.html",41.7698094990835
"S032","aljazeera_com.html",51.389397289313
"S033","aljazeera_net.html",45.3405118439689
"S034","aljazeera_net.html",45.6849493940392
"S035","aljazeera_net.html",42.2098799723956
"S036","aljazeera_net.html",39.0164000500022
"S037","aljazeera_net.html",47.4033844634077
"S038","aljazeera_net.html",47.1050358997638
"S039","aljazeera_net.html",43.5486951096547
"S040","aljazeera_net.html",44.4746407051715
"S041","ameblo_jp.html",44.5596616669923
"S042","ameblo_jp.html",45.7572459366022
"S043","ameblo_jp.html",45.1087589796471
"S044","ameblo_jp.html",47.755924068483
"S045","ameblo_jp.html",46.2982267058336
"S046","ameblo_jp.html",46.09111769895
"S047","ameblo_jp.html",46.9572285509168
"S048","ameblo_jp.html",44.9179225447227
"S049","avira_com.html",47.4785561846536
"S050","avira_com.html",35.6326802270867
"S051","avira_com.html",40.228774040023
"S052","avira_com.html",50.91610661931
"S053","avira_com.html",43.5010074914821
"S054","avira_com.html",44.9619841265661
"S055","avira_com.html",49.3908394688948
"S056","avira_com.html",45.0499425833378
"S057","beget_ru.html",45.8311460319849
"S058","beget_ru.html",44.5601086361358
"S059","beget_ru.html",44.887801791053
"S060","beget_ru.html",41.8744901307127
"S061","beget_ru.html",44.3841524238147
"S062","beget_ru.html",46.416373679011
"S063","beget_ru.html",43.74960621954
"S064","beget_ru.html",44.7821783145048
"S065","bild_de.html",44.8455861633313
"S066","bild_de.html",49.6133151567798
"S067","bild_de.html",53.3081624089743
"S068","bild_de.html",54.2549378509163
"S069","bild_de.html",50.1870724943958
"S070","bild_de.html",46.284459625171
"S071","bild_de.html",53.9770377525708
"S072","bild_de.html",50.3772858120856
"S073","bilibili_com.html",91.7808935216114
"S074","bilibili_com.html",88.4097279916062
"S075","bilibili_com.html",128.632981408062
"S076","bilibili_com.html",136.757462273869
"S077","bilibili_com.html",119.686914324342
"S078","bilibili_com.html",115.425715440746
"S079","bilibili_com.html",101.882797956364
"S080","bilibili_com.html",162.302315443278
"S081","binance_com.html",45.1787197227698
"S082","binance_com.html",45.4091176022282
"S083","binance_com.html",45.7870390371937
"S084","binance_com.html",45.0052272563508
"S085","binance_com.html",44.7451235609967
"S086","binance_com.html",44.9812638869227
"S087","binance_com.html",44.0370993292755
"S088","binance_com.html",41.5884271185508
"S089","bit_ly.html",43.7272601743915
"S090","bit_ly.html",41.2424203285818
