Website,r_hint,power,content size
cbc_ca.html,css-prefetch,46.135656,light
cbsnews_com.html,url-preconnect,60.886512,light
cbsnews_com.html,scr-preload,77.834304,light
cbsnews_com.html,scr-prefetch,69.203484,light
cbsnews_com.html,none,77.781126,light
cbsnews_com.html,img-preload,63.5091408,light
cbsnews_com.html,img-prefetch,38.574036,light
cbsnews_com.html,css-preload,71.086572,light
cbsnews_com.html,css-prefetch,71.40042,light
citi_com.html,url-preconnect,45.037188,heavy
citi_com.html,scr-preload,55.237248,heavy
citi_com.html,scr-prefetch,52.8567984,heavy
citi_com.html,none,53.650843,heavy
citi_com.html,img-preload,37.5774048,heavy
citi_com.html,img-prefetch,53.215344,heavy
citi_com.html,css-preload,54.9234,heavy
citi_com.html,css-prefetch,55.080324,heavy
comodoca_com.html,url-preconnect,52.883388,heavy
comodoca_com.html,scr-preload,43.93872,heavy
comodoca_com.html,scr-prefetch,44.7896736,heavy
comodoca_com.html,none,51.517276,heavy
comodoca_com.html,img-preload,49.7384784,heavy
comodoca_com.html,img-prefetch,51.5764224,heavy
comodoca_com.html,css-preload,45.664884,heavy
comodoca_com.html,css-prefetch,48.018744,heavy
divar_ir.html,url-preconnect,45.50796,light
divar_ir.html,scr-preload,44.095644,light
divar_ir.html,scr-prefetch,44.3536128,light
divar_ir.html,none,45.475259,light
divar_ir.html,img-preload,43.7986224,light
divar_ir.html,img-prefetch,43.9934976,light
divar_ir.html,css-preload,45.037188,light
divar_ir.html,css-prefetch,44.252568,light
dropbox_com.html,url-preconnect,44.880264,heavy
dropbox_com.html,scr-preload,45.978732,heavy
dropbox_com.html,scr-prefetch,43.6372272,heavy
dropbox_com.html,none,45.366176,heavy
dropbox_com.html,img-preload,42.360552,heavy
dropbox_com.html,img-prefetch,42.4894464,heavy
dropbox_com.html,css-preload,45.351036,heavy
dropbox_com.html,css-prefetch,46.763352,heavy
elpais_com.html,url-preconnect,48.332592,light
elpais_com.html,scr-preload,45.664884,light
elpais_com.html,scr-prefetch,44.566416,light
elpais_com.html,none,47.103376,light
elpais_com.html,img-preload,46.2224448,light
elpais_com.html,img-prefetch,51.643008,light
elpais_com.html,css-preload,44.72334,light
elpais_com.html,css-prefetch,46.135656,light
exacttarget_com.html,url-preconnect,49.587984,heavy
exacttarget_com.html,scr-preload,45.351036,heavy
exacttarget_com.html,scr-prefetch,42.8585472,heavy
exacttarget_com.html,none,53.525951,heavy
exacttarget_com.html,img-preload,37.3898304,heavy
exacttarget_com.html,img-prefetch,45.684576,heavy
exacttarget_com.html,css-preload,42.840252,heavy
exacttarget_com.html,css-prefetch,42.212556,heavy
express_co_uk.html,url-preconnect,51.941844,light
express_co_uk.html,scr-preload,51.157224,light
express_co_uk.html,scr-prefetch,47.704896,light
express_co_uk.html,none,55.59614,light
express_co_uk.html,img-preload,50.458464,light
express_co_uk.html,img-prefetch,38.225952,light
express_co_uk.html,css-preload,51.78492,light
express_co_uk.html,css-prefetch,53.040312,light
fandom_com.html,url-preconnect,48.489516,light
fandom_com.html,scr-preload,43.467948,light
fandom_com.html,scr-prefetch,45.194112,light
fandom_com.html,none,49.227505,light
fandom_com.html,img-preload,37.7024544,light
fandom_com.html,img-prefetch,41.9283,light
fandom_com.html,css-preload,48.175668,light
fandom_com.html,css-prefetch,42.997176,light
flaticon_com.html,url-preconnect,48.175668,heavy
flaticon_com.html,scr-preload,41.58486,heavy
flaticon_com.html,scr-prefetch,48.433896,heavy
flaticon_com.html,none,51.779673,heavy
flaticon_com.html,img-preload,45.017856,heavy
flaticon_com.html,img-prefetch,45.6855552,heavy
flaticon_com.html,css-preload,49.274136,heavy
flaticon_com.html,css-prefetch,48.175668,heavy
flipboard_com.html,url-preconnect,46.763352,heavy
flipboard_com.html,scr-preload,46.29258,heavy
flipboard_com.html,scr-prefetch,49.901832,heavy
flipboard_com.html,none,53.638597,heavy
flipboard_com.html,img-preload,45.8175312,heavy
flipboard_com.html,img-prefetch,43.573788,heavy
flipboard_com.html,css-preload,45.194112,heavy
flipboard_com.html,css-prefetch,47.391048,heavy
force_com.html,url-preconnect,46.29258,heavy
force_com.html,scr-preload,46.606428,heavy
force_com.html,scr-prefetch,42.36948,heavy
force_com.html,none,49.933995,heavy
force_com.html,img-preload,43.917552,heavy
force_com.html,img-prefetch,38.92212,heavy
force_com.html,css-preload,44.566416,heavy
force_com.html,css-prefetch,46.449504,heavy
freepik_com.html,url-preconnect,48.332592,heavy
freepik_com.html,scr-preload,44.880264,heavy
freepik_com.html,scr-prefetch,47.0772,heavy
freepik_com.html,none,49.60202,heavy
freepik_com.html,img-preload,46.6273584,heavy
freepik_com.html,img-prefetch,40.50432,heavy
freepik_com.html,css-preload,45.821808,heavy
freepik_com.html,css-prefetch,48.489516,heavy
frontiersin_org.html,url-preconnect,43.1541,heavy
frontiersin_org.html,scr-preload,44.72334,heavy
