website;r_hint;pow_10n;fcp_10n;size
hostgator_com.html;img-preload;44.4530221;703.7092156;light
hostgator_com.html;none;44.27493103;636.6207823;light
hostgator_com.html;scr-prefetch;44.10746361;874.6628418;light
hostgator_com.html;scr-preload;44.88563091;861.0664078;light
hostgator_com.html;url-preconnect;45.75563433;590.2683209;light
infonline_de.html;css-prefetch;45.63403952;1353.66890899999;heavy
infonline_de.html;css-preload;48.22137628;1352.51613;heavy
infonline_de.html;img-prefetch;47.2545598;1374.97137;heavy
infonline_de.html;img-preload;46.13511392;1400.831769;heavy
infonline_de.html;none;45.24056332;1447.716158;heavy
infonline_de.html;scr-prefetch;45.50193834;1316.143437;heavy
infonline_de.html;scr-preload;43.77407518;1386.934571;heavy
infonline_de.html;url-preconnect;44.04889785;1440.8613;heavy
intel_com.html;css-prefetch;42.26491224;959.8202297;heavy
intel_com.html;css-preload;43.36572813;969.3011071;heavy
intel_com.html;img-prefetch;42.26668304;930.5543149;heavy
intel_com.html;img-preload;43.75986783;961.9686469;heavy
intel_com.html;none;43.47081184;931.6647228;heavy
intel_com.html;scr-prefetch;44.4209403;945.7753911;heavy
intel_com.html;scr-preload;43.44420612;963.4546007;heavy
intel_com.html;url-preconnect;42.87001496;936.6493391;heavy
lenta_ru.html;css-prefetch;49.69391559;1089.257025;light
lenta_ru.html;css-preload;50.97812979;1015.841397;light
lenta_ru.html;img-prefetch;50.68160797;1017.357013;light
lenta_ru.html;img-preload;49.44541136;1025.333359;light
lenta_ru.html;none;50.58107073;1087.248621;light
lenta_ru.html;scr-prefetch;49.55319044;1020.580943;light
lenta_ru.html;scr-preload;50.22063825;1002.17452;light
lenta_ru.html;url-preconnect;49.6316605;1082.361784;light
luminate_com.html;css-prefetch;43.50121529;684.7466612;heavy
luminate_com.html;css-preload;43.84156674;754.5060307;heavy
luminate_com.html;img-prefetch;43.29706201;823.6630803;heavy
luminate_com.html;img-preload;43.56386682;690.3883063;heavy
luminate_com.html;none;43.75371855;771.9189806;heavy
luminate_com.html;scr-prefetch;43.64151382;801.6913648;heavy
luminate_com.html;scr-preload;43.52725288;777.7500038;heavy
luminate_com.html;url-preconnect;43.90528528;657.5504108;heavy
marriott_com.html;css-prefetch;47.23792213;1161.976543;heavy
marriott_com.html;css-preload;46.49982448;1479.01712;heavy
marriott_com.html;img-prefetch;46.99127619;1362.890391;heavy
marriott_com.html;img-preload;46.16854772;1434.183025;heavy
marriott_com.html;none;46.69439058;1302.506295;heavy
marriott_com.html;scr-prefetch;47.58281111;1466.796745;heavy
