"id","Column1","Column3"
"S001","adjust_com-htm",1005.35677878371
"S002","adjust_com-htm",868.463112889543
"S003","adjust_com-htm",1199.19439727901
"S004","adjust_com-htm",727.163969034113
"S005","adjust_com-htm",1014.16346815847
"S006","adjust_com-htm",837.537673683245
"S007","adjust_com-htm",826.378239620963
"S008","adjust_com-htm",613.319544847291
"S009","adp_com-htm",2951.98445257717
"S010","adp_com-htm",869.357002473035
"S011","adp_com-htm",2200.68769574952
"S012","adp_com-htm",1084.72052902381
"S013","adp_com-htm",1964.31407356021
"S014","adp_com-htm",1487.23978730851
"S015","adp_com-htm",1217.76062319335
"S016","adp_com-htm",1445.68128543819
"S017","aljazeera_com-htm",795.773095463087
"S018","aljazeera_com-htm",347.276204451033
"S019","aljazeera_com-htm",1031.12432753083
"S020","aljazeera_com-htm",991.70927189693
"S021","aljazeera_com-htm",652.887577870377
"S022","aljazeera_com-htm",1622.17880725246
"S023","aljazeera_com-htm",682.084061313084
"S024","aljazeera_com-htm",854.060361841839
"S025","aljazeera_net-htm",1120.59604146816
"S026","aljazeera_net-htm",1223.6146758681
"S027","aljazeera_net-htm",1021.36037749506
"S028","aljazeera_net-htm",845.560212223244
"S029","aljazeera_net-htm",945.038749477586
"S030","aljazeera_net-htm",981.45598436742
"S031","aljazeera_net-htm",868.308136819468
"S032","aljazeera_net-htm",715.64729158497
"S033","avira_com-htm",1265.06741025463
"S034","avira_com-htm",1456.99349438259
"S035","avira_com-htm",1530.24779109501
"S036","avira_com-htm",905.454768915463
"S037","avira_com-htm",1519.75774127441
"S038","avira_com-htm",908.122016253317
"S039","avira_com-htm",1398.61551388689
"S040","avira_com-htm",1115.5219698248
"S041","beget_ru-htm",2196.36064856117
"S042","beget_ru-htm",2170.81628154746
"S043","beget_ru-htm",2130.87998337276
"S044","beget_ru-htm",2224.2926205462
"S045","beget_ru-htm",1474.82160101411
"S046","beget_ru-htm",2883.04687466752
"S047","beget_ru-htm",2701.86601900817
"S048","beget_ru-htm",2827.11230535094
"S049","bild_de-htm",1208.5113121143
"S050","bild_de-htm",1108.09236335537
"S051","bild_de-htm",785.994378221548
"S052","bild_de-htm",1119.23483609828
"S053","bild_de-htm",1183.55607394236
"S054","bild_de-htm",666.001716822272
"S055","bild_de-htm",1066.26502741621
"S056","bild_de-htm",891.157718041065
"S057","binance_com-htm",1561.32050288456
"S058","binance_com-htm",2153.93703943756
"S059","binance_com-htm",1439.38695275235
"S060","binance_com-htm",1671.39673352053
"S061","binance_com-htm",1498.85141669666
"S062","binance_com-htm",1790.40241831197
"S063","binance_com-htm",1693.89089261764
"S064","binance_com-htm",2079.06937476354
"S065","bit_ly-htm",965.986378211197
"S066","bit_ly-htm",1042.7626868954
"S067","bit_ly-htm",847.468052553037
"S068","bit_ly-htm",838.822737044456
"S069","bit_ly-htm",996.750661470674
"S070","bit_ly-htm",952.901760016964
"S071","bit_ly-htm",902.151504454922
"S072","bit_ly-htm",896.968862523846
"S073","bitrix24_ru-htm",1184.13667525017
"S074","bitrix24_ru-htm",1353.27697783826
"S075","bitrix24_ru-htm",902.300884499629
"S076","bitrix24_ru-htm",1130.37943484147
"S077","bitrix24_ru-htm",913.080599882185
"S078","bitrix24_ru-htm",1001.23193717003
"S079","bitrix24_ru-htm",1001.73390939289
"S080","bitrix24_ru-htm",907.599946599479
"S081","bund_de-htm",629.2
"S082","bund_de-htm",629.2
"S083","bund_de-htm",629.2
"S084","bund_de-htm",629.2
"S085","bund_de-htm",629.2
"S086","bund_de-htm",629.2
"S087","bund_de-htm",629.2
"S088","bund_de-htm",629.2
"S089","buzzfeed_com-htm",895.047785753716
"S090","buzzfeed_com-htm",753.74843013117
"S091","buzzfeed_com-htm",993.07532882709
"S092","buzzfeed_com-htm",875.665718886072
"S093","buzzfeed_com-htm",925.576649845416
"S094","buzzfeed_com-htm",733.135470813095
"S095","buzzfeed_com-htm",700.800338608587
"S096","buzzfeed_com-htm",851.287171738892
"S097","citi_com-htm",752.025621620503
"S098","citi_com-htm",1115.60164764313
"S099","citi_com-htm",923.311732324727
"S100","citi_com-htm",978.909127592722
"S101","citi_com-htm",889.794572999178
"S102","citi_com-htm",933.745678941849
"S103","citi_com-htm",829.770608155528
"S104","citi_com-htm",854.848697837428
"S105","divar_ir-htm",680.399124732374
"S106","divar_ir-htm",726.943751118938
"S107","divar_ir-htm",606.783086327981
"S108","divar_ir-htm",445.135520214285
"S109","divar_ir-htm",899.481547589365
"S110","divar_ir-htm",642.104251731558
"S111","divar_ir-htm",650.358135208277
"S112","divar_ir-htm",470.734656915655
"S113","dropbox_com-htm",1054.74583322639
"S114","dropbox_com-htm",931.00739026215
"S115","dropbox_com-htm",1020.67579960489
"S116","dropbox_com-htm",1033.05770814303
"S117","dropbox_com-htm",872.126874150436
"S118","dropbox_com-htm",739.712396072358
"S119","dropbox_com-htm",816.900000872708
"S120","dropbox_com-htm",943.253490149152
"S121","elpais_com-htm",800.433025400329
"S122","elpais_com-htm",701.644159658495
"S123","elpais_com-htm",880.887383835796
"S124","elpais_com-htm",798.871327525332
"S125","elpais_com-htm",833.708295467615
"S126","elpais_com-htm",721.926758901481
"S127","elpais_com-htm",794.328201692709
"S128","elpais_com-htm",799.690667292142
"S129","flipboard_com-htm",1097.69408624696
"S130","flipboard_com-htm",1198.2154203814
"S131","flipboard_com-htm",872.743921754893
"S132","flipboard_com-htm",951.625145852308
"S133","flipboard_com-htm",1023.74198608426
"S134","flipboard_com-htm",1094.87521410443
"S135","flipboard_com-htm",1215.98084792376
"S136","flipboard_com-htm",1105.16052331004
"S137","force_com-htm",1676.88095019044
"S138","force_com-htm",2666.06320015215
"S139","force_com-htm",645.166070859045
"S140","force_com-htm",3218.72372933069
"S141","force_com-htm",2679.57947401554
"S142","force_com-htm",2005.78562460606
"S143","force_com-htm",3180.37597055125
"S144","force_com-htm",877.13611700377
"S145","freepik_com-htm",1470.77569672204
"S146","freepik_com-htm",1036.13114937862
"S147","freepik_com-htm",1616.9268506748
"S148","freepik_com-htm",1073.13735773244
"S149","freepik_com-htm",1067.22645928477
"S150","freepik_com-htm",1962.04434330223
"S151","freepik_com-htm",1143.70658443547
"S152","freepik_com-htm",1462.08799956934
"S153","frontiersin_org-htm",1294.44195303447
"S154","frontiersin_org-htm",1226.0071731324
"S155","frontiersin_org-htm",1267.77616440655
"S156","frontiersin_org-htm",1386.96126989111
"S157","frontiersin_org-htm",1443.23359365878
"S158","frontiersin_org-htm",1088.98201505081
"S159","frontiersin_org-htm",1088.61278098914
"S160","frontiersin_org-htm",1090.22747335087
"S161","gismeteo_ru-htm",1026.31688907426
"S162","gismeteo_ru-htm",855.002311677986
"S163","gismeteo_ru-htm",924.687722949308
"S164","gismeteo_ru-htm",817.676477760113
"S165","gismeteo_ru-htm",813.312585592459
"S166","gismeteo_ru-htm",933.952071259661
"S167","gismeteo_ru-htm",771.357579817928
"S168","gismeteo_ru-htm",716.187650417617
"S169","hindustantimes_com-htm",771.591341987906
"S170","hindustantimes_com-htm",967.035324587007
"S171","hindustantimes_com-htm",747.813876570866
"S172","hindustantimes_com-htm",539.39107335682
"S173","hindustantimes_com-htm",747.614642041798
"S174","hindustantimes_com-htm",567.935809922833
"S175","hindustantimes_com-htm",738.141437862758
"S176","hindustantimes_com-htm",717.746774151541
"S177","hollywoodreporter_com-htm",992.657061704041
"S178","hollywoodreporter_com-htm",848.144630447958
"S179","hollywoodreporter_com-htm",770.788754566236
"S180","hollywoodreporter_com-htm",979.12263271357
"S181","hollywoodreporter_com-htm",816.318311412925
"S182","hollywoodreporter_com-htm",935.407026478322
"S183","hollywoodreporter_com-htm",927.415401735819
"S184","hollywoodreporter_com-htm",840.460426878976
"S185","hostgator_com-htm",634.366972635905
"S186","hostgator_com-htm",759.284182161974
"S187","hostgator_com-htm",521.820921590022
"S188","hostgator_com-htm",1003.83428336895
"S189","hostgator_com-htm",872.24028565301
"S190","hostgator_com-htm",1115.82793830916
"S191","hostgator_com-htm",1273.66566173616
"S192","hostgator_com-htm",518.176699656854
"S193","infonline_de-htm",1438.54032090771
"S194","infonline_de-htm",1408.56659012894
"S195","infonline_de-htm",1214.34273999778
"S196","infonline_de-htm",969.287578715728
"S197","infonline_de-htm",1647.516052134
"S198","infonline_de-htm",1205.40787916604
"S199","infonline_de-htm",1553.37355409815
"S200","infonline_de-htm",1217.49508392968
"S201","intel_com-htm",971.581603864355
"S202","intel_com-htm",1010.17396569899
"S203","intel_com-htm",987.553830494873
"S204","intel_com-htm",964.605456545585
"S205","intel_com-htm",954.038657835903
"S206","intel_com-htm",1071.19611309487
"S207","intel_com-htm",863.007467878117
"S208","intel_com-htm",994.831086004076
"S209","jstor_org-htm",17750.3510094252
"S210","jstor_org-htm",8057.29793561824
"S211","jstor_org-htm",-1701.55090472723
"S212","jstor_org-htm",-4961.66063831957
"S213","jstor_org-htm",10122.7433902796
"S214","jstor_org-htm",8701.69037662332
"S215","jstor_org-htm",11258.3912621011
"S216","jstor_org-htm",7890.44812334068
"S217","lenta_ru-htm",1236.77153582807
"S218","lenta_ru-htm",1091.82517172052
"S219","lenta_ru-htm",908.135144651485
