"id","Column1","Column3"
"S001","adjust_com-htm",667.020783356363
"S002","adjust_com-htm",790.653197667866
"S003","adjust_com-htm",549.633523797317
"S004","adjust_com-htm",995.371859832949
"S005","adjust_com-htm",928.385021630479
"S006","adjust_com-htm",604.719038257056
"S007","adjust_com-htm",896.028715576139
"S008","adjust_com-htm",902.479410117926
"S009","adp_com-htm",779.410663003266
"S010","adp_com-htm",1200.08200616831
"S011","adp_com-htm",1435.6251219602
"S012","adp_com-htm",1699.83835849545
"S013","adp_com-htm",605.36921517306
"S014","adp_com-htm",1794.995929799
"S015","adp_com-htm",1491.4744720465
"S016","adp_com-htm",1838.37493267045
"S017","aljazeera_com-htm",778.604717720346
"S018","aljazeera_com-htm",452.793689710966
"S019","aljazeera_com-htm",672.959761996963
"S020","aljazeera_com-htm",1060.5541666019
"S021","aljazeera_com-htm",885.149866804072
"S022","aljazeera_com-htm",967.235189678929
"S023","aljazeera_com-htm",980.799547944742
"S024","aljazeera_com-htm",660.860257101014
"S025","aljazeera_net-htm",930.408969039844
"S026","aljazeera_net-htm",812.284244466211
"S027","aljazeera_net-htm",611.763237017274
"S028","aljazeera_net-htm",1226.66594257333
"S029","aljazeera_net-htm",937.048144285807
"S030","aljazeera_net-htm",1013.06792016644
"S031","aljazeera_net-htm",1120.08509475075
"S032","aljazeera_net-htm",1132.12757257378
"S033","avira_com-htm",1364.28269112914
"S034","avira_com-htm",1173.6708747316
"S035","avira_com-htm",1340.67031815976
"S036","avira_com-htm",1349.34975621893
"S037","avira_com-htm",1017.59161958972
"S038","avira_com-htm",1308.13056656263
"S039","avira_com-htm",1040.74840090342
"S040","avira_com-htm",1492.43704575496
"S041","beget_ru-htm",1979.79050520467
"S042","beget_ru-htm",2253.74362652218
"S043","beget_ru-htm",2444.47711021409
"S044","beget_ru-htm",2843.27323115681
"S045","beget_ru-htm",2915.36382829234
"S046","beget_ru-htm",2260.47997247384
"S047","beget_ru-htm",2720.07439886117
"S048","beget_ru-htm",2821.24302798872
"S049","bild_de-htm",880.162173960664
"S050","bild_de-htm",1288.54040958366
"S051","bild_de-htm",1209.48811251591
"S052","bild_de-htm",1161.16397820943
"S053","bild_de-htm",655.549638081894
"S054","bild_de-htm",818.920032028543
"S055","bild_de-htm",1206.55406339241
"S056","bild_de-htm",1274.24783876011
