Column1;Column2;Column3
gismeteo_ru-htm;css-preload;1033.0
gismeteo_ru-htm;img-prefetch;854.8
gismeteo_ru-htm;img-preload;867.1
gismeteo_ru-htm;none;554.2
gismeteo_ru-htm;scr-prefetch;905.5
gismeteo_ru-htm;scr-preload;848.9
gismeteo_ru-htm;url-preconnect;873.2
hindustantimes_com-htm;css-prefetch;570.3
hindustantimes_com-htm;css-preload;587.9
hindustantimes_com-htm;img-prefetch;618.0
hindustantimes_com-htm;img-preload;1025.6
hindustantimes_com-htm;none;661.5
hindustantimes_com-htm;scr-prefetch;804.8
hindustantimes_com-htm;scr-preload;939.4
hindustantimes_com-htm;url-preconnect;819.1
hollywoodreporter_com-htm;css-prefetch;925.4
hollywoodreporter_com-htm;css-preload;972.0
hollywoodreporter_com-htm;img-prefetch;796.1
hollywoodreporter_com-htm;img-preload;998.3
hollywoodreporter_com-htm;none;1005.3
hollywoodreporter_com-htm;scr-prefetch;764.9
hollywoodreporter_com-htm;scr-preload;853.7
hollywoodreporter_com-htm;url-preconnect;1115.0
hostgator_com-htm;css-prefetch;504.1
hostgator_com-htm;css-preload;994.1
hostgator_com-htm;img-prefetch;532.0
hostgator_com-htm;img-preload;810.2
hostgator_com-htm;none;885.4
hostgator_com-htm;scr-prefetch;694.1
hostgator_com-htm;scr-preload;937.5
hostgator_com-htm;url-preconnect;457.0
infonline_de-htm;css-prefetch;1458.0
infonline_de-htm;css-preload;1685.7
infonline_de-htm;img-prefetch;1215.5
infonline_de-htm;img-preload;1442.0
infonline_de-htm;none;1367.7
infonline_de-htm;scr-prefetch;1468.2
infonline_de-htm;scr-preload;1122.5
infonline_de-htm;url-preconnect;1148.3
intel_com-htm;css-prefetch;1036.0
intel_com-htm;css-preload;898.4
intel_com-htm;img-prefetch;954.6
intel_com-htm;img-preload;1002.9
intel_com-htm;none;752.3
intel_com-htm;scr-prefetch;992.1
intel_com-htm;scr-preload;925.6
intel_com-htm;url-preconnect;1044.0
jstor_org-htm;css-prefetch;1813.4
jstor_org-htm;css-preload;2221.1
jstor_org-htm;img-prefetch;2440.9
jstor_org-htm;img-preload;10267.7
jstor_org-htm;none;1797.4
jstor_org-htm;scr-prefetch;1939.6
jstor_org-htm;scr-preload;15795.3
jstor_org-htm;url-preconnect;2817.5
lenta_ru-htm;css-prefetch;821.0
lenta_ru-htm;css-preload;1016.1
lenta_ru-htm;img-prefetch;1165.5
lenta_ru-htm;img-preload;1137.6
lenta_ru-htm;none;906.6
