"id","Column1","Column3"
"S155","frontiersin_org-htm",1015.89481301184
"S156","frontiersin_org-htm",1026.40314467474
"S157","frontiersin_org-htm",1473.48349902397
"S158","frontiersin_org-htm",1343.76254032965
"S159","frontiersin_org-htm",1397.26808207075
"S160","frontiersin_org-htm",973.307403891301
"S161","gismeteo_ru-htm",892.864090111875
"S162","gismeteo_ru-htm",882.925815669859
"S163","gismeteo_ru-htm",1069.93138538033
"S164","gismeteo_ru-htm",810.979869839606
"S165","gismeteo_ru-htm",843.683246526333
"S166","gismeteo_ru-htm",948.068600431817
"S167","gismeteo_ru-htm",680.189702614707
"S168","gismeteo_ru-htm",779.391988422714
"S169","hindustantimes_com-htm",573.257422868047
"S170","hindustantimes_com-htm",710.437795121112
"S171","hindustantimes_com-htm",547.271204416818
"S172","hindustantimes_com-htm",1087.22865979807
"S173","hindustantimes_com-htm",796.972922759565
"S174","hindustantimes_com-htm",578.804687624615
"S175","hindustantimes_com-htm",870.930838023178
"S176","hindustantimes_com-htm",785.002688300964
"S177","hollywoodreporter_com-htm",1199.6233950948
"S178","hollywoodreporter_com-htm",1161.46014860711
"S179","hollywoodreporter_com-htm",1001.63470340918
"S180","hollywoodreporter_com-htm",829.629691916462
"S181","hollywoodreporter_com-htm",861.275394560581
"S182","hollywoodreporter_com-htm",990.401134569414
"S183","hollywoodreporter_com-htm",1094.69007308417
"S184","hollywoodreporter_com-htm",894.780167180894
"S185","hostgator_com-htm",791.743885289561
"S186","hostgator_com-htm",401.065828198838
"S187","hostgator_com-htm",674.083339754769
"S188","hostgator_com-htm",321.267789860997
"S189","hostgator_com-htm",703.614036725219
"S190","hostgator_com-htm",643.613329419015
"S191","hostgator_com-htm",848.418344540835
"S192","hostgator_com-htm",706.899358437267
"S193","infonline_de-htm",1379.29413322914
"S194","infonline_de-htm",1331.5022055715
"S195","infonline_de-htm",1650.87941449001
"S196","infonline_de-htm",1599.93100759813
"S197","infonline_de-htm",1712.06609983774
"S198","infonline_de-htm",1239.00876417578
"S199","infonline_de-htm",1387.84635646323
"S200","infonline_de-htm",1477.68400536957
"S201","intel_com-htm",948.354027889248
"S202","intel_com-htm",983.06036109577
"S203","intel_com-htm",844.376921553487
"S204","intel_com-htm",989.987483680069
"S205","intel_com-htm",984.428423166135
"S206","intel_com-htm",715.560594731539
"S207","intel_com-htm",970.060375114812
"S208","intel_com-htm",1097.13765889137
"S209","jstor_org-htm",8646.76134977043
"S210","jstor_org-htm",-3513.39606032302
"S211","jstor_org-htm",3798.31364802367
"S212","jstor_org-htm",-5090.09560263369
"S213","jstor_org-htm",11613.4727831686
"S214","jstor_org-htm",519.837410460913
"S215","jstor_org-htm",12280.0769377306
"S216","jstor_org-htm",1195.35721540867
"S217","lenta_ru-htm",1016.17011049799
"S218","lenta_ru-htm",863.875069961132
"S219","lenta_ru-htm",1303.73396168411
"S220","lenta_ru-htm",1075.92315332751
"S221","lenta_ru-htm",948.68580547907
"S222","lenta_ru-htm",650.497478396895
"S223","lenta_ru-htm",1110.57045137577
"S224","lenta_ru-htm",1143.55619361606
"S225","livejournal_com-htm",822.063327779589
"S226","livejournal_com-htm",999.373971343033
"S227","livejournal_com-htm",2031.27980191707
"S228","livejournal_com-htm",922.764505865437
"S229","livejournal_com-htm",1149.93634865656
"S230","livejournal_com-htm",1504.00486700009
"S231","livejournal_com-htm",1132.36359331063
"S232","livejournal_com-htm",1461.9142416341
"S233","luminate_com-htm",914.232611924057
"S234","luminate_com-htm",850.935294900205
"S235","luminate_com-htm",726.424081503977
"S236","luminate_com-htm",758.115742484188
